-------------------------------------------------------------------------------------------------------------------------------------------------
         Observed         |     Aki      |     fik      | Acc. |             Ei           Ek               |  Lower level  |  Upper level  |Type|
        Wavelength        |    (s^-1)    |              |      |            (eV)         (eV)              |---------------|---------------|    |
         Vac (nm)         |              |              |      |                                           | Conf.  | Term | Conf.  | Term |    |
            414.4930      | 4.8812e+06   | 2.0954e-02   | AAA  |  [21.2180227112]   -   [24.209249793955]  | 1s.2p  | 1P*  | 1s.6d  | 1D   |    |
            417.0142      | 1.8298e+06   | 1.5902e-03   | AAA  |  [21.2180227112]   -   [24.1911602752]    | 1s.2p  | 1P*  | 1s.6s  | 1S   |    |
            438.91624     | 8.9889e+06   | 4.3269e-02   | AAA  |  [21.2180227112]   -   [24.042803412125]  | 1s.2p  | 1P*  | 1s.5d  | 1D   |    |
            443.8797      | 3.2689e+06   | 3.2186e-03   | AAA  |  [21.2180227112]   -   [24.0112149898]    | 1s.2p  | 1P*  | 1s.5s  | 1S   |    |
                          |              |              |      |                                           |        |      |        |      |    |
            447.27350     | 6.8275e+05   | 1.2286e-03   | AAA  |  [20.96408688908]  -   [23.73609263507]   | 1s.2p  | 3P*  | 1s.4d  | 3D   |    |
            447.27350     | 6.1440e+06   | 1.8427e-02   | AAA  |  [20.96408688908]  -   [23.73609033897]   | 1s.2p  | 3P*  | 1s.4d  | 3D   |    |
            447.27350     | 2.4579e+07   | 1.0320e-01   | AAA  |  [20.96408688908]  -   [23.73609019010]   | 1s.2p  | 3P*  | 1s.4d  | 3D   |    |
            447.27350     | 1.0241e+07   | 3.0715e-02   | AAA  |  [20.96409636464]  -   [23.73609263507]   | 1s.2p  | 3P*  | 1s.4d  | 3D   |    |
            447.27350     | 1.8432e+07   | 9.2135e-02   | AAA  |  [20.96409636464]  -   [23.73609033897]   | 1s.2p  | 3P*  | 1s.4d  | 3D   |    |
                          |              |              |      |                                           |        |      |        |      |    |
            471.44644     | 5.2894e+06   | 1.0575e-02   | AAA  |  [20.96408688908]  -   [23.593958713]     | 1s.2p  | 3P*  | 1s.4s  | 3S   |    |
            471.44644     | 3.1736e+06   | 1.0575e-02   | AAA  |  [20.96409636464]  -   [23.593958713]     | 1s.2p  | 3P*  | 1s.4s  | 3S   |    |
            492.33053     | 1.9863e+07   | 1.2030e-01   | AAA  |  [21.2180227112]   -   [23.73633503536]   | 1s.2p  | 1P*  | 1s.4d  | 1D   |    |
            501.70772     | 1.3372e+07   | 1.5138e-01   | AAA  |  [20.615774823]    -   [23.08701852960]   | 1s.2s  | 1S   | 1s.3p  | 1P*  |    |
            504.9145      | 6.7712e+06   | 8.6265e-03   | AAA  |  [21.2180227112]   -   [23.673570590]     | 1s.2p  | 1P*  | 1s.4s  | 1S   |    |
                          |              |              |      |                                           |        |      |        |      |    |
            587.7249      | 1.7673e+07   | 9.1520e-02   | AAA  |  [20.96408688908]  -   [23.07365101981]   | 1s.2p  | 3P*  | 1s.3d  | 3D   |    |
            587.7249      | 7.0708e+07   | 5.1263e-01   | AAA  |  [20.96408688908]  -   [23.07365070854]   | 1s.2p  | 3P*  | 1s.3d  | 3D   |    |
            587.7249      | 2.9462e+07   | 1.5257e-01   | AAA  |  [20.96409636464]  -   [23.07365649967]   | 1s.2p  | 3P*  | 1s.3d  | 3D   |    |
            587.7249      | 5.3019e+07   | 4.5760e-01   | AAA  |  [20.96409636464]  -   [23.07365101981]   | 1s.2p  | 3P*  | 1s.3d  | 3D   |    |
            667.9995      | 6.3705e+07   | 7.1028e-01   | AAA  |  [21.2180227112]   -   [23.07407479777]   | 1s.2p  | 1P*  | 1s.3d  | 1D   |    |
                          |              |              |      |                                           |        |      |        |      |    |
            706.7138      | 1.5474e+07   | 6.9518e-02   | AAA  |  [20.96408688908]  -   [22.718466419]     | 1s.2p  | 3P*  | 1s.3s  | 3S   |    |
            706.7138      | 9.2844e+06   | 6.9519e-02   | AAA  |  [20.96409636464]  -   [22.718466419]     | 1s.2p  | 3P*  | 1s.3s  | 3S   |    |
            706.766       | 3.0948e+06   | 6.9528e-02   | AAA  |  [20.96421885051]  -   [22.718466419]     | 1s.2p  | 3P*  | 1s.3s  | 3S   |    |
            728.3355      | 1.8299e+07   | 4.8509e-02   | AAA  |  [21.2180227112]   -   [22.920317359]     | 1s.2p  | 1P*  | 1s.3s  | 1S   |    |
            921.2865      | 2.2685e+03   | 2.0618e-05   | AAA  |  [23.07365070854]  -   [24.4194247912483] | 1s.3d  | 3D   | 1s.9f  | 3F*  |    |
                          |              |              |      |                                           |        |      |        |      |    |
            921.2865      | 5.1041e+05   | 8.3504e-03   | AAA  |  [23.07365070854]  -   [24.4194246975540] | 1s.3d  | 3D   | 1s.9f  | 3F*  |    |
            921.2865      | 4.3822e+04   | 5.5762e-04   | AAA  |  [23.07365070854]  -   [24.4194246464065] | 1s.3d  | 3D   | 1s.9f  | 3F*  |    |
            921.2865      | 7.9378e+04   | 1.0101e-03   | AAA  |  [23.07365101981]  -   [24.4194247912483] | 1s.3d  | 3D   | 1s.9f  | 3F*  |    |
            921.2865      | 3.5681e+05   | 6.3564e-03   | AAA  |  [23.07365101981]  -   [24.4194246464065] | 1s.3d  | 3D   | 1s.9f  | 3F*  |    |
            921.2865      | 4.2875e+05   | 9.0929e-03   | AAA  |  [23.07365649967]  -   [24.4194247912483] | 1s.3d  | 3D   | 1s.9f  | 3F*  |    |
                          |              |              |      |                                           |        |      |        |      |    |
            952.878       | 3.3834e+03   | 3.2897e-05   | AAA  |  [23.07365070854]  -   [24.3748071255995] | 1s.3d  | 3D   | 1s.8f  | 3F*  |    |
            952.878       | 7.6127e+05   | 1.3323e-02   | AAA  |  [23.07365070854]  -   [24.3748069921824] | 1s.3d  | 3D   | 1s.8f  | 3F*  |    |
            952.878       | 6.4641e+04   | 8.7991e-04   | AAA  |  [23.07365070854]  -   [24.3748069170618] | 1s.3d  | 3D   | 1s.8f  | 3F*  |    |
            952.878       | 1.1839e+05   | 1.6116e-03   | AAA  |  [23.07365101981]  -   [24.3748071255995] | 1s.3d  | 3D   | 1s.8f  | 3F*  |    |
            952.878       | 5.2655e+05   | 1.0035e-02   | AAA  |  [23.07365101981]  -   [24.3748069170618] | 1s.3d  | 3D   | 1s.8f  | 3F*  |    |
                          |              |              |      |                                           |        |      |        |      |    |
            952.878       | 6.3946e+05   | 1.4508e-02   | AAA  |  [23.07365649967]  -   [24.3748071255995] | 1s.3d  | 3D   | 1s.8f  | 3F*  |    |
            953.188       | 5.8976e+05   | 1.1246e-02   | AAA  |  [23.07407479777]  -   [24.3748073302369] | 1s.3d  | 1D   | 1s.8f  | 1F*  |    |
           1003.048       | 5.4147e+03   | 5.8337e-05   | AAA  |  [23.07365070854]  -   [24.3097276075680] | 1s.3d  | 3D   | 1s.7f  | 3F*  |    |
           1003.048       | 1.2183e+06   | 2.3626e-02   | AAA  |  [23.07365070854]  -   [24.3097274083893] | 1s.3d  | 3D   | 1s.7f  | 3F*  |    |
           1003.048       | 1.8947e+05   | 2.8578e-03   | AAA  |  [23.07365101981]  -   [24.3097276075680] | 1s.3d  | 3D   | 1s.7f  | 3F*  |    |
                          |              |              |      |                                           |        |      |        |      |    |
           1003.048       | 1.0174e+05   | 1.5346e-03   | AAA  |  [23.07365070854]  -   [24.3097272911601] | 1s.3d  | 3D   | 1s.7f  | 3F*  |    |
           1003.048       | 8.2928e+05   | 1.7512e-02   | AAA  |  [23.07365101981]  -   [24.3097272911601] | 1s.3d  | 3D   | 1s.7f  | 3F*  |    |
           1003.048       | 1.0234e+06   | 2.5727e-02   | AAA  |  [23.07365649967]  -   [24.3097276075680] | 1s.3d  | 3D   | 1s.7f  | 3F*  |    |
           1003.391       | 9.2892e+05   | 1.9629e-02   | AAA  |  [23.07407479777]  -   [24.3097278970701] | 1s.3d  | 1D   | 1s.7f  | 1F*  |    |
           1091.591       | 9.6197e+03   | 1.2275e-04   | AAA  |  [23.07365070854]  -   [24.209455342828]  | 1s.3d  | 3D   | 1s.6f  | 3F*  |    |
                          |              |              |      |                                           |        |      |        |      |    |
           1091.591       | 3.3661e+05   | 6.0133e-03   | AAA  |  [23.07365101981]  -   [24.209455342828]  | 1s.3d  | 3D   | 1s.6f  | 3F*  |    |
           1091.591       | 2.1644e+06   | 4.9712e-02   | AAA  |  [23.07365070854]  -   [24.2094550264796] | 1s.3d  | 3D   | 1s.6f  | 3F*  |    |
           1091.591       | 1.7594e+05   | 3.1430e-03   | AAA  |  [23.07365070854]  -   [24.209454827529]  | 1s.3d  | 3D   | 1s.6f  | 3F*  |    |
           1091.591       | 1.4356e+06   | 3.5904e-02   | AAA  |  [23.07365101981]  -   [24.209454827529]  | 1s.3d  | 3D   | 1s.6f  | 3F*  |    |
           1091.604       | 1.8181e+06   | 5.4132e-02   | AAA  |  [23.07365649967]  -   [24.209455342828]  | 1s.3d  | 3D   | 1s.6f  | 3F*  |    |
                          |              |              |      |                                           |        |      |        |      |    |
           1092.009       | 1.6083e+06   | 4.0253e-02   | AAA  |  [23.07407479777]  -   [24.2094557657828] | 1s.3d  | 1D   | 1s.6f  | 1F*  |    |
           1197.240       | 2.6084e+06   | 9.3420e-02   | AAA  |  [23.0070758719]   -   [24.042662321526]  | 1s.3p  | 3P*  | 1s.5d  | 3D   |    |
           1253.095       | 7.0932e+05   | 2.7830e-02   | AAA  |  [22.718466419]    -   [23.7078912279]    | 1s.3s  | 3S   | 1s.4p  | 3P*  |    |
           1278.829       | 2.0331e+04   | 3.5606e-04   | AAA  |  [23.07365070854]  -   [24.043155012649]  | 1s.3d  | 3D   | 1s.5f  | 3F*  |    |
           1278.829       | 7.1142e+05   | 1.7443e-02   | AAA  |  [23.07365101981]  -   [24.043155012649]  | 1s.3d  | 3D   | 1s.5f  | 3F*  |    |
                          |              |              |      |                                           |        |      |        |      |    |
           1278.829       | 4.5746e+06   | 1.4421e-01   | AAA  |  [23.07365070854]  -   [24.043154465835]  | 1s.3d  | 3D   | 1s.5f  | 3F*  |    |
           1278.829       | 3.5457e+05   | 8.6935e-03   | AAA  |  [23.07365070854]  -   [24.043154084167]  | 1s.3d  | 3D   | 1s.5f  | 3F*  |    |
           1278.829       | 2.8980e+06   | 9.9476e-02   | AAA  |  [23.07365101981]  -   [24.043154084167]  | 1s.3d  | 3D   | 1s.5f  | 3F*  |    |
           1278.849       | 3.8426e+06   | 1.5703e-01   | AAA  |  [23.07365649967]  -   [24.043155012649]  | 1s.3d  | 3D   | 1s.5f  | 3F*  |    |
           1279.407       | 3.2475e+06   | 1.1157e-01   | AAA  |  [23.07407479777]  -   [24.043155648442]  | 1s.3d  | 1D   | 1s.5f  | 1F*  |    |
                          |              |              |      |                                           |        |      |        |      |    |
           1284.947       | 1.5176e+06   | 2.2539e-02   | AAA  |  [23.00707314571]  -   [23.9719714182]    | 1s.3p  | 3P*  | 1s.5s  | 3S   |    |
           1284.947       | 9.1057e+05   | 2.2539e-02   | AAA  |  [23.0070758719]   -   [23.9719714182]    | 1s.3p  | 3P*  | 1s.5s  | 3S   |    |
           1297.200       | 3.3615e+06   | 1.4134e-01   | AAA  |  [23.08701852960]  -   [24.042803412125]  | 1s.3p  | 1P*  | 1s.5d  | 1D   |    |
           1298.844       | 2.7294e+05   | 2.3010e-03   | AAA  |  [23.07365649967]  -   [24.0282324989]    | 1s.3d  | 3D   | 1s.5p  | 3P*  |    |
           1298.844       | 2.0466e+05   | 3.1057e-03   | AAA  |  [23.07365101981]  -   [24.0282256244]    | 1s.3d  | 3D   | 1s.5p  | 3P*  |    |
                          |              |              |      |                                           |        |      |        |      |    |
           1298.844       | 2.2927e+05   | 4.1418e-03   | AAA  |  [23.07365070854]  -   [24.0282250640]    | 1s.3d  | 3D   | 1s.5p  | 3P*  |    |
           1298.844       | 4.0931e+04   | 1.0352e-03   | AAA  |  [23.07365101981]  -   [24.0282250640]    | 1s.3d  | 3D   | 1s.5p  | 3P*  |    |
           1298.844       | 6.8235e+04   | 1.7258e-03   | AAA  |  [23.07365649967]  -   [24.0282256244]    | 1s.3d  | 3D   | 1s.5p  | 3P*  |    |
           1298.844       | 2.7294e+03   | 1.1505e-04   | AAA  |  [23.07365649967]  -   [24.0282250640]    | 1s.3d  | 3D   | 1s.5p  | 3P*  |    |
           1508.776       | 1.4057e+06   | 1.4392e-01   | AAA  |  [22.920317359]    -   [23.74207006880]   | 1s.3s  | 1S   | 1s.4p  | 1P*  |    |
                          |              |              |      |                                           |        |      |        |      |    |
           1700.711       | 1.8358e+05   | 4.7763e-03   | AAA  |  [23.00707314571]  -   [23.73609263507]   | 1s.3p  | 3P*  | 1s.4d  | 3D   |    |
           1700.711       | 1.6520e+06   | 7.1635e-02   | AAA  |  [23.00707314571]  -   [23.73609033897]   | 1s.3p  | 3P*  | 1s.4d  | 3D   |    |
           1700.711       | 6.6090e+06   | 4.0122e-01   | AAA  |  [23.00707314571]  -   [23.73609019010]   | 1s.3p  | 3P*  | 1s.4d  | 3D   |    |
           1700.711       | 2.7538e+06   | 1.1941e-01   | AAA  |  [23.0070758719]   -   [23.73609263507]   | 1s.3p  | 3P*  | 1s.4d  | 3D   |    |
           1700.711       | 4.9562e+06   | 3.5819e-01   | AAA  |  [23.0070758719]   -   [23.73609033897]   | 1s.3p  | 3P*  | 1s.4d  | 3D   |    |
                          |              |              |      |                                           |        |      |        |      |    |
           1869.044       | 6.1502e+04   | 2.3007e-03   | AAA  |  [23.07365070854]  -   [23.737008760725]  | 1s.3d  | 3D   | 1s.4f  | 3F*  |    |
           1869.044       | 2.1521e+06   | 1.1271e-01   | AAA  |  [23.07365101981]  -   [23.737008760725]  | 1s.3d  | 3D   | 1s.4f  | 3F*  |    |
