obs_wl_vac(nm),intens,Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,conf_k,term_k,Type,
"741.2337","15","3.9e+05","5.4e-03",D+,"13.28263902","14.95485204","3s2.3p5.(2P*<1/2>).4p","2[3/2]","3s2.3p5.(2P*<1/2>).4d","2[5/2]*",,
"742.5294","10","3.1e+05","3.6e-03",D,"13.30222747","14.97152236","3s2.3p5.(2P*<1/2>).4p","2[3/2]","3s2.3p5.(2P*<1/2>).4d","2[5/2]*",,
"743.5368","25","9.0e+05","7.5e-03",D+,"13.17177770","14.83881100","3s2.3p5.(2P*<3/2>).4p","2[3/2]","3s2.3p5.(2P*<3/2>).6s","2[3/2]*",,
"743.6297","10","2.7e+05","1.6e-03",D,"13.07571571","14.74254085","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3s2.3p5.(2P*<3/2>).4d","2[3/2]*",,
"750.3869","20000","4.5e+07","1.25e-01",B,"11.82807116","13.47988682","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","3s2.3p5.(2P*<1/2>).4p","2[1/2]",,
"751.4652","15000","4.0e+07","1.14e-01",B,"11.62359272","13.27303810","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","3s2.3p5.(2P*<3/2>).4p","2[1/2]",,
"763.5106","25000","2.45e+07","2.14e-01",B,"11.54835442","13.17177770","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","3s2.3p5.(2P*<3/2>).4p","2[3/2]",,
"772.3761","15000","5.2e+06","2.78e-02",B+,"11.54835442","13.15314387","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","3s2.3p5.(2P*<3/2>).4p","2[3/2]",,
"772.4207","10000","1.17e+07","3.14e-01",B+,"11.72316039","13.32785705","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","3s2.3p5.(2P*<1/2>).4p","2[1/2]",,
"789.1075","10","9.5e+05","8.9e-03",C,"13.17177770","14.74254085","3s2.3p5.(2P*<3/2>).4p","2[3/2]","3s2.3p5.(2P*<3/2>).4d","2[3/2]*",,
"794.8176","20000","1.86e+07","5.3e-01",B,"11.72316039","13.28263902","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","3s2.3p5.(2P*<1/2>).4p","2[3/2]",,
"800.6157","20000","4.9e+06","7.9e-02",C+,"11.62359272","13.17177770","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","3s2.3p5.(2P*<3/2>).4p","2[3/2]",,
"801.4786","25000","9.3e+06","8.9e-02",B,"11.54835442","13.09487256","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","3s2.3p5.(2P*<3/2>).4p","2[5/2]",,
"805.3308","7","8.6e+05","5.0e-03",C,"13.17177770","14.71089810","3s2.3p5.(2P*<3/2>).4p","2[3/2]","3s2.3p5.(2P*<3/2>).4d","2[1/2]*",,
"810.3693","20000","2.50e+07","2.46e-01",B+,"11.62359272","13.15314387","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","3s2.3p5.(2P*<3/2>).4p","2[3/2]",,
"811.5311","35000","3.3e+07","4.6e-01",B,"11.54835442","13.07571571","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","3s2.3p5.(2P*<3/2>).4p","2[5/2]",,
"826.4522","10000","1.53e+07","1.57e-01",B+,"11.82807116","13.32785705","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","3s2.3p5.(2P*<1/2>).4p","2[1/2]",,
"840.8210","15000","2.23e+07","3.94e-01",B+,"11.82807116","13.30222747","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","3s2.3p5.(2P*<1/2>).4p","2[3/2]",,
"842.4648","20000","2.15e+07","3.81e-01",B+,"11.62359272","13.09487256","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","3s2.3p5.(2P*<3/2>).4p","2[5/2]",,
"852.1442","15000","1.39e+07","1.51e-01",B,"11.82807116","13.28263902","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","3s2.3p5.(2P*<1/2>).4p","2[3/2]",,
"860.5776","7","1.04e+06","1.16e-02",C,"13.30222747","14.74254085","3s2.3p5.(2P*<1/2>).4p","2[3/2]","3s2.3p5.(2P*<3/2>).4d","2[3/2]*",,
"866.7944","4500","2.43e+06","8.2e-02",B,"11.72316039","13.15314387","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","3s2.3p5.(2P*<3/2>).4p","2[3/2]",,
"907.5394","20","1.2e+06","4.9e-03",D,"13.32785705","14.6936397","3s2.3p5.(2P*<1/2>).4p","2[1/2]","3s2.3p5.(2P*<3/2>).4d","2[1/2]*",,
"912.2967","35000","1.89e+07","1.42e-01",B,"11.54835442","12.90701530","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","3s2.3p5.(2P*<3/2>).4p","2[1/2]",,
"919.4638","550","1.76e+06","2.23e-02",C,"12.90701530","14.2550856","3s2.3p5.(2P*<3/2>).4p","2[1/2]","3s2.3p5.(2P*<1/2>).5s","2[1/2]*",,
"922.4499","15000","5.0e+06","1.07e-01",B,"11.82807116","13.17177770","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","3s2.3p5.(2P*<3/2>).4p","2[3/2]",,
"929.1531","400","3.26e+06","1.41e-02",C,"12.90701530","14.2410277","3s2.3p5.(2P*<3/2>).4p","2[1/2]","3s2.3p5.(2P*<1/2>).5s","2[1/2]*",,
"935.4220","1600","1.06e+06","1.39e-02",B,"11.82807116","13.15314387","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","3s2.3p5.(2P*<3/2>).4p","2[3/2]",,
"965.7786","25000","5.4e+06","7.6e-02",B,"11.62359272","12.90701530","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","3s2.3p5.(2P*<3/2>).4p","2[1/2]",,
"978.4503","4500","1.47e+06","3.5e-02",B,"11.82807116","13.09487256","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","3s2.3p5.(2P*<3/2>).4p","2[5/2]",,
"1047.0054","1600","9.8e+05","4.8e-02",C+,"11.72316039","12.90701530","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","3s2.3p5.(2P*<3/2>).4p","2[1/2]",,
"1047.8034","13","2.44e+06","4.02e-02",C,"12.90701530","14.0899685","3s2.3p5.(2P*<3/2>).4p","2[1/2]","3s2.3p5.(2P*<3/2>).5s","2[3/2]*",,
"1050.650","180","1.58e+06","3.66e-02",C,"13.9034546","15.0832027","3s2.3p5.(2P*<3/2>).3d","2[3/2]*","3s2.3p5.(2P*<1/2>).4f","2[5/2]",,
"1067.3565","200","4.9e+06","1.4e-01",D,"12.90701530","14.0682977","3s2.3p5.(2P*<3/2>).4p","2[1/2]","3s2.3p5.(2P*<3/2>).5s","2[3/2]*",,
"1107.8869","11","8.3e+05","1.5e-02",C,"13.09487256","14.2136715","3s2.3p5.(2P*<3/2>).4p","2[5/2]","3s2.3p5.(2P*<1/2>).3d","2[5/2]*",,
"1144.1832","12","1.39e+06","1.64e-02",C,"13.17177770","14.2550856","3s2.3p5.(2P*<3/2>).4p","2[3/2]","3s2.3p5.(2P*<1/2>).5s","2[1/2]*",,
